,postal_code,borough,neighbourhood
123,M7S,,
124,M8S,,
125,M9S,,
126,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
127,M2T,,
128,M3T,,
129,M4T,Central Toronto,"Moore Park, Summerhill East"
130,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
131,M6T,,
132,M7T,,
133,M8T,,
134,M9T,,
135,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
136,M2V,,
137,M3V,,
138,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
139,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
140,M6V,,
141,M7V,,
142,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
143,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
144,M1W,Scarborough,"Steeles West, L'Amoreaux West"
145,M2W,,
146,M3W,,
147,M4W,Downtown Toronto,Rosedale
148,M5W,Downtown Toronto,Stn A PO Boxes
149,M6W,,
150,M7W,,
151,M8W,Etobicoke,"Alderwood, Long Branch"
152,M9W,Etobicoke,"Northwest, West Humber - Clairville"
153,M1X,Scarborough,Upper Rouge
154,M2X,,
155,M3X,,
156,M4X,Downtown Toronto,"St. James Town, Cabbagetown"
157,M5X,Downtown Toronto,"First Canadian Place, Underground city"
158,M6X,,
159,M7X,,
160,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
161,M9X,,
162,M1Y,,
163,M2Y,,
164,M3Y,,
165,M4Y,Downtown Toronto,Church and Wellesley
166,M5Y,,
167,M6Y,,
168,M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
169,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
170,M9Y,,
171,M1Z,,
172,M2Z,,
173,M3Z,,
174,M4Z,,
175,M5Z,,
176,M6Z,,
177,M7Z,,
178,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
179,M9Z,,
